"V1" "V2" "V3" "V4" "V5"
"1" 0.640766787892252 0.0724781687393583 0.584962500721156 0 0.381718963165075
"2" 0.309295933929516 -1.04257058109692 0 1 0.122237380627558
"3" 0.309295933929516 -1.04257058109692 0 1 0.00900409276944066
"4" 0 1.18752691857564 0 1 0.103956343792633
"5" 0.640766787892252 0.0724781687393583 0.584962500721156 0 0.599727148703956
"6" 1 -0.485046206178782 1 0 0.507230559345157
"7" 0.727704523549345 -0.485046206178782 0.584962500721156 0 0.707230559345157
"8" 0.230068910087463 -0.485046206178782 0 1 0.160163710777626
"9" 0.727704523549345 -0.485046206178782 0.584962500721156 0 0.662482946793997
"10" 0.727704523549345 -0.485046206178782 0.584962500721156 0 0.571896316507503
"11" 0.727704523549345 -0.485046206178782 0.584962500721156 0 0.612005457025921
"12" 0.471959020783038 2.30257566841192 0.847996906554949 0 0.638744884038199
"13" 0.38990112908923 -1.60009495601506 0 1 0.103137789904502
"14" 0.152151694532606 0.0724781687393583 0 1 0.105593451568895
"15" 0.230068910087463 -0.485046206178782 0 1 0.100136425648022
"16" 1 -0.485046206178782 1 0 0.627557980900409
"17" 0.727704523549345 -0.485046206178782 0.584962500721156 0 0.552796725784447
"18" 0.230068910087463 -0.485046206178782 0 1 0.116507503410641
"19" 0.471959020783038 2.30257566841192 0.847996906554949 0 0.816098226466576
"20" 1 -0.485046206178782 1 0 0.421009549795361
"21" 0.152151694532606 0.0724781687393583 0 1 0.0753069577080491
"22" 0 1.18752691857564 0 1 0.0924965893587995
"23" 1 -0.485046206178782 1 0 0.283492496589359
"24" 0 1.18752691857564 0 1 0.175170532060027
"25" 0.816473129869052 0.0724781687393583 0.847996906554949 0 0.641473396998636
"26" 1 -0.485046206178782 1 0 0.520600272851296
"27" 0.230068910087463 -0.485046206178782 0 1 0.151705320600273
"28" 0.38990112908923 -1.60009495601506 0 1 0.0717598908594816
"29" 0.309295933929516 -1.04257058109692 0 1 0.119236016371078
"30" 0.555551103277242 0.630002543657498 0.584962500721156 0 0.730968622100955
"31" 0.38990112908923 -1.60009495601506 0 1 0.103410641200546
"32" 0.471959020783038 2.30257566841192 0.847996906554949 0 0.706957708049113
"33" 0.309295933929516 -1.04257058109692 0 1 0.185538881309686
"34" 0.640766787892252 0.0724781687393583 0.584962500721156 0 0.47094133697135
"35" 0.152151694532606 0.0724781687393583 0 1 0.106957708049113
"36" 0.471959020783038 2.30257566841192 0.847996906554949 0 0.6193724420191
"37" 1 -0.485046206178782 1 0 0.612005457025921
"38" 0.230068910087463 -0.485046206178782 0 1 0.127967257844475
"39" 0.640766787892252 0.0724781687393583 0.584962500721156 0 0.484038199181446
"40" 0.152151694532606 0.0724781687393583 0 1 0.0723055934515689
"41" 1 -0.485046206178782 1 0 0.283492496589359
"42" 0.640766787892252 0.0724781687393583 0.584962500721156 0 0.278854024556617
"43" 0.555551103277242 0.630002543657498 0.584962500721156 0 0.932878581173261
"44" 0.309295933929516 -1.04257058109692 0 1 0.113233287858117
"45" 0.38990112908923 -1.60009495601506 0 1 0.108594815825375
"46" 1 -0.485046206178782 1 0 0.508867667121419
"47" 0.471959020783038 2.30257566841192 0.847996906554949 0 0.626739427012278
"48" 1 -0.485046206178782 1 0 0.500409276944065
"49" 0.471959020783038 2.30257566841192 0.847996906554949 0 0.620190995907231
"50" 1 -0.485046206178782 1 0 0.407639836289222
"51" 0.152151694532606 0.0724781687393583 0 1 0.0758526603001364
"52" 0.0754813958334239 0.630002543657498 0 1 0.268485675306958
"53" 1 -0.485046206178782 1 0 0.600818553888131
"54" 0.309295933929516 -1.04257058109692 0 1 0.101773533424284
"55" 1 -0.485046206178782 1 0 0.514051841746248
"56" 0.727704523549345 -0.485046206178782 0.584962500721156 0 0.547612551159618
"57" 0.471959020783038 2.30257566841192 0.847996906554949 0 0.716507503410641
"58" 0.727704523549345 -0.485046206178782 0.584962500721156 0 0.515143246930423
"59" 0 1.18752691857564 0 1 0.0900409276944066
